1642558529120|7|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/database?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=UTC|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid
1642558593021|5|statement|connection 10|url jdbc:p6spy:mysql://localhost:3306/database?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=UTC|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid
1642558610199|0|statement|connection 10|url jdbc:p6spy:mysql://localhost:3306/database?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=UTC|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid WHERE t.id = ?|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid WHERE t.id = NULL
1642558646442|6|statement|connection 20|url jdbc:p6spy:mysql://localhost:3306/database?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=UTC|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid WHERE t.id = ?|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid WHERE t.id = NULL
1642558861542|13|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/database?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=UTC|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid WHERE t.id = ?|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid WHERE t.id = '1'
1642559096064|0|statement|connection 10|url jdbc:p6spy:mysql://localhost:3306/database?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=UTC|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid WHERE t.id = ?|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid WHERE t.id = '1'
1642559270024|1|statement|connection 20|url jdbc:p6spy:mysql://localhost:3306/database?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=UTC|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid WHERE t.id = ?|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid WHERE t.id = '1'
1642559291795|6|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/database?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=UTC|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid WHERE t.id = ?|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid WHERE t.id = '1'
1642559506480|6|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/database?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=UTC|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid WHERE t.id = ?|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid WHERE t.id = '1'
1642559511244|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/database?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=UTC|SELECT  id,`name`,remark,create_time,update_time  FROM test|SELECT  id,`name`,remark,create_time,update_time  FROM test
1642559570944|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/database?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=UTC|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid
1642559583174|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/database?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=UTC|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid WHERE t.id = ?|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid WHERE t.id = '1'
1642559592278|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/database?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=UTC|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid WHERE t.id = ?|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid WHERE t.id = '2'
1642559594891|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/database?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=UTC|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid WHERE t.id = ?|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid WHERE t.id = '3'
1642559597761|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/database?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=UTC|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid WHERE t.id = ?|SELECT t.id,t.name,t2.age,t2.sex FROM `test` as t INNER JOIN `test2` as t2 on t.id = t2.tid WHERE t.id = '2'
1642559706003|4|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/database?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=UTC|INSERT INTO test  ( `name`, remark, create_time )  VALUES  ( ?, ?, ? )|INSERT INTO test  ( `name`, remark, create_time )  VALUES  ( 'test3', '这是第三次测试', '2022-01-19T10:35:05.993+0800' )
1642559807034|10|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/database?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=UTC|UPDATE test  SET remark=?, update_time=?  WHERE id=?|UPDATE test  SET remark='这是第三次测试第一次修改', update_time='2022-01-19T10:36:47.021+0800'  WHERE id=47
1642559863868|8|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/database?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=UTC|DELETE FROM test WHERE id=?|DELETE FROM test WHERE id='46'
